date,time,parkingAreaId,plateNumber,country,confidence,angle,image,status
2025-06-08,09-07-57,6843a488a78f7728a339dd75,CVX025,AUS,81,359,2025-06-08_09-07-57_CVX025.jpg,APPROACHING
2025-06-08,09-07-57,6843a488a78f7728a339dd75,WKF098,AUS,80,196,2025-06-08_09-07-57_WKF098.jpg,APPROACHING
2025-06-08,09-07-57,6843a488a78f7728a339dd75,BCX520,AUS,91,322,2025-06-08_09-07-57_BCX520.jpg,APPROACHING
2025-06-08,09-07-57,6843a488a78f7728a339dd75,DMD690,AUS,93,78,2025-06-08_09-07-57_DMD690.jpg,APPROACHING
2025-06-08,09-07-57,6843a488a78f7728a339dd75,NED672,AUS,90,199,2025-06-08_09-07-57_NED672.jpg,APPROACHING
2025-06-08,09-07-57,6843a488a78f7728a339dd75,SMF230,AUS,94,25,2025-06-08_09-07-57_SMF230.jpg,APPROACHING
2025-06-08,09-07-57,6843a488a78f7728a339dd75,DBO632,AUS,94,235,2025-06-08_09-07-57_DBO632.jpg,APPROACHING
2025-06-08,09-07-57,6843a488a78f7728a339dd75,RZY781,AUS,88,166,2025-06-08_09-07-57_RZY781.jpg,APPROACHING
2025-06-08,09-07-57,6843a488a78f7728a339dd75,TJO474,AUS,87,179,2025-06-08_09-07-57_TJO474.jpg,APPROACHING
2025-06-08,09-07-57,6843a488a78f7728a339dd75,FGQ669,AUS,83,68,2025-06-08_09-07-57_FGQ669.jpg,APPROACHING
2025-06-08,09-07-57,6843a488a78f7728a339dd75,AJZ832,AUS,87,138,2025-06-08_09-07-57_AJZ832.jpg,APPROACHING
2025-06-08,09-07-57,6843a488a78f7728a339dd75,SRF222,AUS,97,27,2025-06-08_09-07-57_SRF222.jpg,APPROACHING
2025-06-08,09-07-57,6843a488a78f7728a339dd75,AUE445,AUS,87,216,2025-06-08_09-07-57_AUE445.jpg,APPROACHING
2025-06-08,09-07-58,6843a488a78f7728a339dd75,ZJI509,AUS,85,231,2025-06-08_09-07-58_ZJI509.jpg,APPROACHING
2025-06-08,09-07-58,6843a488a78f7728a339dd75,IPG829,AUS,95,246,2025-06-08_09-07-58_IPG829.jpg,APPROACHING
2025-06-08,09-07-58,6843a488a78f7728a339dd75,UGA351,AUS,99,152,2025-06-08_09-07-58_UGA351.jpg,APPROACHING
2025-06-08,09-07-58,6843a488a78f7728a339dd75,JDS231,AUS,81,29,2025-06-08_09-07-58_JDS231.jpg,APPROACHING
2025-06-08,09-07-58,6843a488a78f7728a339dd75,TDF830,AUS,86,241,2025-06-08_09-07-58_TDF830.jpg,APPROACHING
2025-06-08,09-07-58,6843a488a78f7728a339dd75,QQW828,AUS,96,225,2025-06-08_09-07-58_QQW828.jpg,APPROACHING
2025-06-08,09-07-58,6843a488a78f7728a339dd75,BVO338,AUS,85,282,2025-06-08_09-07-58_BVO338.jpg,APPROACHING
2025-06-08,09-07-58,6843a488a78f7728a339dd75,QHR811,AUS,90,45,2025-06-08_09-07-58_QHR811.jpg,APPROACHING
2025-06-08,09-07-58,6843a488a78f7728a339dd75,USM836,AUS,91,93,2025-06-08_09-07-58_USM836.jpg,APPROACHING
2025-06-08,09-07-59,6843a488a78f7728a339dd75,RRN634,AUS,96,175,2025-06-08_09-07-59_RRN634.jpg,APPROACHING
2025-06-08,09-07-59,6843a488a78f7728a339dd75,TJT910,AUS,88,263,2025-06-08_09-07-59_TJT910.jpg,APPROACHING
2025-06-08,09-07-59,6843a488a78f7728a339dd75,ILR470,AUS,98,323,2025-06-08_09-07-59_ILR470.jpg,APPROACHING
2025-06-08,09-07-59,6843a488a78f7728a339dd75,MMD076,AUS,82,211,2025-06-08_09-07-59_MMD076.jpg,APPROACHING
2025-06-08,09-07-59,6843a488a78f7728a339dd75,SZG438,AUS,80,30,2025-06-08_09-07-59_SZG438.jpg,APPROACHING
2025-06-08,09-07-59,6843a488a78f7728a339dd75,GND883,AUS,98,79,2025-06-08_09-07-59_GND883.jpg,APPROACHING
2025-06-08,09-07-59,6843a488a78f7728a339dd75,IAO334,AUS,95,228,2025-06-08_09-07-59_IAO334.jpg,APPROACHING
2025-06-08,09-07-59,6843a488a78f7728a339dd75,ZNN741,AUS,81,308,2025-06-08_09-07-59_ZNN741.jpg,APPROACHING
2025-06-08,09-07-59,6843a488a78f7728a339dd75,CSP015,AUS,95,22,2025-06-08_09-07-59_CSP015.jpg,APPROACHING
2025-06-08,09-07-59,6843a488a78f7728a339dd75,SBA691,AUS,86,337,2025-06-08_09-07-59_SBA691.jpg,APPROACHING
2025-06-08,09-08-00,6843a488a78f7728a339dd75,ESO453,AUS,91,200,2025-06-08_09-08-00_ESO453.jpg,APPROACHING
2025-06-08,09-08-00,6843a488a78f7728a339dd75,RPV575,AUS,84,329,2025-06-08_09-08-00_RPV575.jpg,APPROACHING
2025-06-08,09-08-00,6843a488a78f7728a339dd75,WPB432,AUS,89,260,2025-06-08_09-08-00_WPB432.jpg,APPROACHING
2025-06-08,09-08-00,6843a488a78f7728a339dd75,EYH823,AUS,81,144,2025-06-08_09-08-00_EYH823.jpg,APPROACHING
2025-06-08,09-08-00,6843a488a78f7728a339dd75,KSF870,AUS,90,58,2025-06-08_09-08-00_KSF870.jpg,APPROACHING
2025-06-08,09-08-00,6843a488a78f7728a339dd75,CWJ823,AUS,82,198,2025-06-08_09-08-00_CWJ823.jpg,APPROACHING
2025-06-08,09-08-00,6843a488a78f7728a339dd75,GFT050,AUS,80,308,2025-06-08_09-08-00_GFT050.jpg,APPROACHING
2025-06-08,09-08-00,6843a488a78f7728a339dd75,MRF021,AUS,85,30,2025-06-08_09-08-00_MRF021.jpg,APPROACHING
2025-06-08,09-08-00,6843a488a78f7728a339dd75,MGM603,AUS,88,281,2025-06-08_09-08-00_MGM603.jpg,APPROACHING
2025-06-08,09-08-00,6843a488a78f7728a339dd75,DYR831,AUS,88,197,2025-06-08_09-08-00_DYR831.jpg,APPROACHING
2025-06-08,09-08-00,6843a488a78f7728a339dd75,BHD335,AUS,99,122,2025-06-08_09-08-00_BHD335.jpg,APPROACHING
2025-06-08,09-08-00,6843a488a78f7728a339dd75,BAI072,AUS,87,36,2025-06-08_09-08-00_BAI072.jpg,APPROACHING
2025-06-08,09-08-01,6843a488a78f7728a339dd75,FCP151,AUS,98,43,2025-06-08_09-08-01_FCP151.jpg,APPROACHING
2025-06-08,09-08-01,6843a488a78f7728a339dd75,ACO240,AUS,95,124,2025-06-08_09-08-01_ACO240.jpg,APPROACHING
2025-06-08,09-08-01,6843a488a78f7728a339dd75,GIV180,AUS,85,56,2025-06-08_09-08-01_GIV180.jpg,APPROACHING
2025-06-08,09-08-01,6843a488a78f7728a339dd75,AFA188,AUS,88,357,2025-06-08_09-08-01_AFA188.jpg,APPROACHING
2025-06-08,09-08-01,6843a488a78f7728a339dd75,GGY916,AUS,99,193,2025-06-08_09-08-01_GGY916.jpg,APPROACHING
